1445
ENSG00000277248.1	U2	snRNA
ENSG00000283047.1	FRG1FP	unprocessed_pseudogene
ENSG00000279973.2	ENSG00000279973	lncRNA
ENSG00000226444.2	ACTR3BP7	processed_pseudogene
ENSG00000276871.1	5_8S_rRNA	rRNA
ENSG00000288262.1	ENSG00000288262	unprocessed_pseudogene
ENSG00000290397.1	ENSG00000290397	lncRNA
ENSG00000286406.2	ENSG00000286406	transcribed_unprocessed_pseudogene
ENSG00000283023.1	FRG1GP	unprocessed_pseudogene
ENSG00000276138.1	U6	snRNA
ENSG00000280341.1	ENSG00000280341	lncRNA
ENSG00000236235.1	ENSG00000236235	unprocessed_pseudogene
ENSG00000279442.1	ENSG00000279442	lncRNA
ENSG00000184624.4	ZNF72P	unprocessed_pseudogene
ENSG00000236097.1	BNIP3P2	processed_pseudogene
ENSG00000236831.1	YME1L1P1	unprocessed_pseudogene
ENSG00000130538.6	OR11H1	protein_coding
ENSG00000237299.1	ENSG00000237299	unprocessed_pseudogene
ENSG00000235759.1	ARHGAP42P3	processed_pseudogene
ENSG00000233408.1	ENSG00000233408	lncRNA
ENSG00000215268.3	ENSG00000215268	processed_pseudogene
ENSG00000213727.3	ENSG00000213727	processed_pseudogene
ENSG00000230643.1	ENSG00000230643	unprocessed_pseudogene
ENSG00000230471.1	ENSG00000230471	lncRNA
ENSG00000231565.1	NEK2P2	processed_pseudogene
ENSG00000226474.1	ENSG00000226474	unprocessed_pseudogene
ENSG00000224435.2	NF1P6	unprocessed_pseudogene
ENSG00000234381.1	MED15P7	unprocessed_pseudogene
ENSG00000198062.16	POTEH	protein_coding
ENSG00000236666.1	POTEH-AS1	lncRNA
ENSG00000212216.1	RNU6-816P	snRNA
ENSG00000241838.3	ENSG00000241838	processed_pseudogene
ENSG00000225255.6	PSLNR	lncRNA
ENSG00000235992.1	GRAMD4P2	processed_pseudogene
ENSG00000206195.11	DUXAP8	lncRNA
ENSG00000271127.2	ENSG00000271127	transcribed_unprocessed_pseudogene
ENSG00000290415.1	ENSG00000290415	lncRNA
ENSG00000232775.7	BMS1P22	transcribed_unprocessed_pseudogene
ENSG00000272872.1	ENSG00000272872	lncRNA
ENSG00000271672.1	DUXAP8	transcribed_processed_pseudogene
ENSG00000223875.2	NBEAP3	unprocessed_pseudogene
ENSG00000215270.3	TOMM40P2	processed_pseudogene
ENSG00000229286.1	ENSG00000229286	unprocessed_pseudogene
ENSG00000233866.1	ENSG00000233866	lncRNA
ENSG00000278188.1	U6	snRNA
ENSG00000225293.1	ABCD1P4	unprocessed_pseudogene
ENSG00000226160.1	ENSG00000226160	processed_pseudogene
