5353
ENST00000615943.1	10736170	10736282	10736282	2	1	0	0
ENST00000635667.1	10939387	10961337	10736282	2	9	1	1
ENST00000624155.2	11066417	11068173	10961337	1	2	10	2
ENST00000422332.1	11124336	11125704	11068173	1	2	12	3
ENST00000612732.1	11249808	11249958	11125704	2	1	14	4
ENST00000672261.1	11474743	11479642	11249958	1	3	15	5
ENST00000657566.1	11827522	11910357	11479642	1	17	18	6
ENST00000657645.1	11883601	11903999	11910357	1	7	35	7
ENST00000634617.1	12602465	12626641	11910357	1	9	42	8
ENST00000613107.1	15273854	15273960	12626641	1	1	51	9
ENST00000623391.1	15282556	15288669	15273960	2	1	52	10
ENST00000448473.1	15290717	15297195	15288669	1	5	53	11
ENST00000623199.1	15298377	15304555	15297195	2	1	58	12
ENST00000425869.1	15326036	15343064	15304555	2	3	59	13
ENST00000441221.1	15349466	15350042	15343064	1	1	62	14
ENST00000429435.1	15489989	15492563	15350042	1	3	63	15
ENST00000643195.1	15528191	15529138	15492563	1	1	66	16
ENST00000412729.1	15541435	15578005	15529138	1	4	67	17
ENST00000443989.1	15550903	15553837	15578005	2	3	71	18
ENST00000444162.1	15557576	15560693	15578005	2	3	74	19
ENST00000417863.1	15562016	15564275	15578005	2	1	77	20
ENST00000456143.1	15572088	15573264	15578005	2	1	78	21
ENST00000447704.1	15588360	15588477	15578005	1	1	79	22
ENST00000428118.1	15600907	15604881	15588477	2	3	80	23
ENST00000438441.1	15611758	15613095	15604881	2	1	83	24
ENST00000440999.1	15615401	15615577	15613095	2	1	84	25
ENST00000426025.1	15622600	15632050	15615577	2	11	85	26
ENST00000435410.1	15635179	15644329	15632050	2	7	96	27
ENST00000343518.11	15690025	15721630	15644329	1	11	103	28
ENST00000452800.1	15690245	15721521	15721630	1	12	114	28
ENST00000422014.1	15699360	15703402	15721630	2	2	126	29
ENST00000390914.1	15701458	15701564	15721630	1	1	128	30
ENST00000417657.1	15721485	15722607	15721630	1	1	129	31
ENST00000453395.5	15746629	15778296	15722607	1	3	130	32
ENST00000423297.1	15749155	15750824	15778296	2	2	133	33
ENST00000438574.1	15765686	15778296	15778296	1	3	135	32
ENST00000413768.5	15784958	15827433	15778296	1	8	138	34
ENST00000437781.5	15784962	15827707	15827433	1	8	146	34
ENST00000383038.7	15784967	15819164	15827707	1	8	154	34
ENST00000661115.1	15784976	15791386	15827707	1	5	162	34
ENST00000603308.2	15784982	15798257	15827707	1	7	167	34
ENST00000447898.5	15784991	15829983	15827707	1	4	174	34
ENST00000661156.1	15787699	15790572	15829983	1	2	178	34
ENST00000458623.1	15790708	15791813	15829983	1	3	180	34
ENST00000657965.1	15794900	15797908	15829983	1	3	183	35
ENST00000440946.5	15805262	15815896	15829983	2	3	186	36
ENST00000609679.1	15805811	15820883	15829983	2	3	189	36
ENST00000414726.1	15805846	15806502	15829983	2	2	192	37
ENST00000607933.1	15818492	15819133	15829983	1	1	194	34
ENST00000608286.1	15823196	15823889	15829983	1	1	195	38
ENST00000456786.2	15826565	15827186	15829983	1	1	196	39
ENST00000420638.2	15852989	15893941	15829983	1	5	197	40
ENST00000398242.2	15854194	15855242	15893941	2	1	202	41
ENST00000448070.1	15901790	15901910	15893941	1	1	203	42
ENST00000424770.1	15914720	15915799	15901910	2	2	204	43
ENST00000612550.1	16141766	16141871	15915799	1	1	206	44
ENST00000399687.3	16387693	16390886	16141871	1	4	207	45
ENST00000427602.1	16405329	16405416	16390886	1	1	211	46
ENST00000426076.1	16423942	16426030	16405416	1	4	212	47
ENST00000421957.1	16428946	16476869	16426030	2	9	216	48
ENST00000623630.1	16486984	16488321	16476869	1	1	225	49
