chr22	10939424	10940596	-	2
chr22	10940708	10941690	-	2
chr22	10941781	10944966	-	2
chr22	10945054	10947303	-	2
chr22	10947419	10949211	-	2
chr22	10949270	10950048	-	2
chr22	10950175	10959066	-	2
chr22	10959137	10961282	-	2
chr22	11066516	11067984	+	3
chr22	11124380	11124507	+	4
chr22	11474905	11475145	+	6
chr22	11475239	11477177	+	6
chr22	11827659	11832760	+	7
chr22	11832916	11867114	+	7
chr22	11867146	11869828	+	7
chr22	11869899	11872162	+	7
chr22	11872355	11873840	+	7
chr22	11873926	11876103	+	7
chr22	11876133	11876223	+	7
chr22	11876297	11882267	+	7
chr22	11882339	11886400	+	7
chr22	11884629	11886400	+	8
chr22	11886566	11887951	+	7,8
chr22	11888147	11889309	+	7,8
chr22	11890231	11891781	+	7,8
chr22	11891932	11902860	+	7,8
chr22	11903143	11903786	+	7,8
chr22	11904001	11905336	+	7
chr22	11905558	11910165	+	7
chr22	12602528	12604669	+	9
chr22	12604740	12615408	+	9
chr22	12615535	12616313	+	9
chr22	12616372	12618170	+	9
chr22	12618290	12620837	+	9
chr22	12620939	12624241	+	9
chr22	12624332	12625316	+	9
chr22	12625429	12626606	+	9
chr22	15290837	15290994	+	12
chr22	15291025	15295331	+	12
chr22	15295411	15295729	+	12
chr22	15295833	15297156	+	12
chr22	15327757	15342359	-	14
chr22	15342427	15342944	-	14
chr22	15490132	15490871	+	16
chr22	15490948	15492485	+	16
chr22	15541608	15558445	+	18
chr22	15552888	15553210	-	19
chr22	15553587	15553690	-	19
chr22	15558592	15560155	-	20
chr22	15558627	15575611	+	18
chr22	15560265	15560524	-	20
chr22	15575787	15577966	+	18
chr22	15602515	15604051	-	24
chr22	15604134	15604841	-	24
chr22	15622713	15623986	-	27
chr22	15624072	15624538	-	27
chr22	15624675	15624955	-	27
chr22	15625095	15625471	-	27
chr22	15625902	15627331	-	27
chr22	15627411	15627649	-	27
chr22	15627717	15628381	-	27
chr22	15628587	15629737	-	27
chr22	15629892	15631429	-	27
chr22	15631539	15631918	-	27
chr22	15635312	15636010	-	28
chr22	15636068	15636545	-	28
chr22	15636715	15636799	-	28
chr22	15636866	15637380	-	28
chr22	15637460	15638851	-	28
chr22	15639044	15644203	-	28
chr22	15690710	15695370	+	29
chr22	15695486	15695644	+	29
chr22	15695819	15697373	+	29
chr22	15695819	15698661	+	29
chr22	15697630	15698661	+	29
chr22	15698769	15700077	+	29
chr22	15700216	15702685	+	29
chr22	15701483	15702959	-	30
chr22	15702757	15708019	+	29
chr22	15708091	15709781	+	29
chr22	15709827	15710867	+	29
chr22	15711035	15719659	+	29
chr22	15719779	15721285	+	29
chr22	15746900	15754387	+	33
chr22	15749799	15750371	-	34
chr22	15754454	15778009	+	33
chr22	15765781	15774711	+	33
chr22	15774849	15778009	+	33
chr22	15785058	15787171	+	35
chr22	15785058	15791016	+	35
chr22	15787283	15788551	+	35
chr22	15787283	15788584	+	35
chr22	15788700	15788819	+	35
chr22	15788932	15790660	+	35
chr22	15788932	15790684	+	35
chr22	15790799	15791009	+	35
chr22	15790799	15791016	+	35
chr22	15791153	15791627	+	35
chr22	15791153	15796835	+	35
chr22	15791153	15815475	+	35
chr22	15795798	15795938	+	36
chr22	15796135	15796858	+	36
chr22	15806012	15806355	-	38
chr22	15806012	15813393	-	37
chr22	15813482	15815574	-	37
chr22	15813482	15820620	-	37
chr22	15815567	15818573	+	35
chr22	15815567	15826141	+	35
chr22	15853222	15859049	+	41
chr22	15859172	15876488	+	41
chr22	15876688	15877314	+	41
chr22	15877449	15893136	+	41
chr22	15915147	15915640	-	44
chr22	16387840	16390135	+	46
chr22	16390221	16390369	+	46
chr22	16390496	16390640	+	46
chr22	16424109	16424524	+	48
chr22	16425213	16425244	+	48
chr22	16425489	16425517	+	48
chr22	16429162	16433325	-	49
chr22	16433462	16434363	-	49
chr22	16434455	16438286	-	49
chr22	16438438	16439312	-	49
chr22	16439392	16459929	-	49
chr22	16460105	16472851	-	49
chr22	16472979	16474087	-	49
chr22	16474230	16476698	-	49
chr22	16503377	16508154	+	51
chr22	16508240	16509387	+	51
chr22	16521290	16525946	+	52
chr22	16526114	16526974	+	52
chr22	16572151	16572707	+	53
chr22	16572754	16573043	+	53
chr22	16573213	16573421	+	53
chr22	16573528	16574465	+	53
chr22	16578074	16580810	-	54
chr22	16581288	16582506	-	54,55
chr22	16592976	16599419	+	57
chr22	16602216	16611657	+	59,60
chr22	16602216	16622840	+	59
chr22	16602216	16638578	+	59
chr22	16611894	16613984	+	60
chr22	16611894	16614076	+	59,60
chr22	16614179	16614698	+	60
chr22	16614179	16622840	+	59
chr22	16616347	16616745	+	61
chr22	16619721	16620051	+	59
chr22	16620161	16622840	+	59
chr22	16622898	16637039	+	59
chr22	16637091	16638578	+	59,62
chr22	16638741	16639297	+	59
chr22	16638741	16647167	+	59
chr22	16638741	16647604	+	59
chr22	16638741	16648526	+	59
chr22	16638741	16697495	+	59
chr22	16645814	16646447	-	63
chr22	16647258	16647662	+	59
chr22	16647786	16648526	+	59
chr22	16648649	16653509	+	59
chr22	16649962	16652321	+	59
chr22	16652484	16652932	+	59
chr22	16654077	16659496	-	64,65
chr22	16659629	16659857	-	65
chr22	16659970	16661475	-	65
chr22	16661556	16669461	-	65
chr22	16669621	16670216	-	65
chr22	16670262	16671517	-	65
chr22	16671179	16671517	-	66
chr22	16671589	16673599	-	65,66
chr22	16671589	16675122	-	65
chr22	16673753	16675122	-	65,66
chr22	16676047	16677192	-	66,67
chr22	16677377	16679291	-	66,67
chr22	16679494	16690102	-	67
chr22	16690281	16690572	-	67,68
chr22	16690617	16691974	-	67,68
chr22	16692140	16694577	-	67,68
chr22	16694722	16695003	-	68
chr22	16695145	16695241	-	68
chr22	16695359	16696777	-	68
chr22	16698157	16700313	-	68
chr22	16700450	16701153	-	68
chr22	16701313	16702042	-	68
chr22	16702204	16703992	-	68
chr22	16704107	16704308	-	68
chr22	16725241	16745350	+	69
chr22	16745480	16747054	+	69
chr22	16747740	16748275	-	70
chr22	16784410	16799770	-	71
chr22	16800025	16807738	-	71
chr22	16808084	16821606	-	71
