34462
0	112	0
0	35	0
1209	1319	36
2303	2392	147
5579	5665	237
7916	8030	324
9824	9881	439
10661	10786	497
19679	19748	623
21895	21950	693
0	97	0
1567	1756	98
0	42	0
171	1368	43
0	150	0
0	160	0
402	494	161
2434	4899	254
0	135	0
5238	5392	136
39592	39622	291
42306	42375	322
44640	44831	392
46318	46402	584
48581	48609	669
48701	48773	698
54745	54815	771
58878	59042	842
60429	60623	1007
61787	62707	1202
64259	64408	2123
75338	75619	2273
76264	76477	2555
77814	78034	2769
82643	82835	2990
0	1026	0
2799	2963	1027
4350	4544	1192
5708	6628	1387
8180	8329	2308
19259	19540	2458
20185	20398	2740
0	61	0
2204	2273	62
12943	13068	132
13848	13905	258
15705	15823	316
18372	18472	435
21776	21865	536
22851	22962	626
24141	24176	738
0	106	0
0	6113	0
0	118	0
277	306	119
4614	4692	149
5012	5114	228
6439	6478	331
0	6178	0
0	1719	0
16323	16389	1720
16908	17028	1787
0	576	0
0	141	0
882	957	142
2496	2574	218
0	947	0
0	171	0
17010	17190	172
34176	34350	353
36531	36570	528
0	1983	0
2307	2682	1984
2787	2934	2360
0	1014	0
2579	2687	1015
2948	3117	1124
0	2259	0
0	1176	0
0	117	0
0	1606	0
3144	3225	1607
3934	3974	1689
0	1337	0
0	176	0
0	111	0
1386	1470	112
1938	2073	197
2355	2493	333
2871	3300	472
4731	4809	902
5049	5115	981
5781	5985	1048
7137	7290	1253
8829	8937	1407
9318	9450	1516
0	131	0
831	887	132
1366	1534	189
1620	1685	358
2201	2279	424
3672	3863	503
9024	9150	695
0	683	0
5345	5459	684
5619	5792	799
8636	8742	973
10052	10189	1080
12660	12730	1218
17994	18064	1289
19756	19800	1360
20842	21008	1405
29634	29752	1572
31260	31605	1691
0	463	0
5125	5239	464
5399	5572	579
7128	7383	753
8416	8522	1009
9832	9969	1116
12440	12510	1254
17774	17844	1325
19536	19580	1396
20622	20788	1441
29414	29532	1608
31040	31276	1727
0	2121	0
3599	4042	2122
0	106	0
0	1122	0
0	269	0
7758	7823	270
31380	31667	336
0	642	0
1216	1669	643
0	93	0
9025	9161	94
12323	12610	231
0	98	0
2213	2323	99
3626	3740	210
3861	3972	325
5702	5839	437
6051	6193	575
