chr22	15788932	15790660	1	1	1	1	0	45
chr22	15788932	15790684	1	1	1	1	0	10
chr22	15790799	15791016	1	1	1	1	0	16
chr22	16698157	16700313	2	2	1	1	0	49
chr22	16700450	16701153	2	2	1	1	0	39
chr22	17037345	17044872	1	1	1	3	0	37
chr22	17045001	17047323	1	1	1	2	0	49
chr22	17085230	17097061	1	1	1	1	0	25
chr22	17097087	17097796	1	1	1	2	0	25
chr22	17098888	17101995	1	1	1	1	0	5
chr22	17100482	17101995	1	1	1	1	0	16
chr22	17102044	17102138	1	1	1	2	0	47
chr22	17102303	17103493	1	1	1	1	0	44
chr22	17103578	17104725	1	1	1	1	0	47
chr22	17104811	17105590	1	1	1	1	0	12
chr22	17105603	17105852	1	1	1	1	0	12
chr22	17105955	17107726	1	1	1	3	0	42
chr22	17107769	17108306	1	1	1	2	0	30
chr22	17138358	17138549	2	2	1	1	0	19
chr22	17138739	17141058	2	2	1	1	1	24
chr22	17141234	17143097	2	2	1	3	0	44
chr22	17143132	17145023	2	2	1	2	0	34
chr22	17145118	17148447	2	2	1	1	0	44
chr22	17148561	17149541	2	2	1	2	0	29
chr22	17149746	17159125	2	2	1	2	0	35
chr22	17182023	17182603	2	2	1	1	0	10
chr22	17182762	17188338	2	2	1	1	0	13
chr22	17186388	17201016	2	2	0	1	0	19
chr22	17188448	17189941	2	2	1	1	0	42
chr22	17190033	17191682	2	2	1	1	0	42
chr22	17203774	17207070	2	2	1	1	0	26
chr22	17477683	17497402	1	1	1	3	0	28
chr22	17497587	17499409	1	1	1	5	0	47
chr22	17499550	17500630	1	1	1	1	0	11
chr22	17500736	17503081	1	1	1	5	0	42
chr22	17503132	17504846	1	1	1	5	0	39
chr22	17505017	17511812	1	1	1	1	0	28
chr22	17524272	17537102	1	1	1	1	0	5
chr22	17538558	17538639	1	1	1	1	0	38
chr22	17538732	17538992	1	1	1	2	0	49
chr22	17539120	17540411	1	1	1	3	0	46
chr22	17540801	17541838	1	1	1	1	0	48
chr22	17541968	17542156	1	1	1	3	0	30
chr22	17542839	17548147	1	1	0	1	0	48
chr22	17552143	17552834	1	1	1	1	0	19
chr22	17563714	17569923	1	1	1	3	0	48
chr22	17563714	17579744	1	1	1	1	0	22
chr22	17569987	17579744	1	1	1	6	0	49
chr22	17579965	17581036	1	1	1	6	0	47
chr22	17581160	17581357	1	1	1	5	0	24
chr22	17581414	17582562	1	1	1	3	0	42
chr22	17582654	17583415	1	1	1	5	0	48
chr22	17583535	17587135	1	1	1	9	0	47
chr22	17587302	17587924	1	1	1	8	0	48
chr22	17588080	17589589	1	1	1	8	0	50
chr22	17589666	17590094	1	1	1	5	0	47
chr22	17592737	17594528	2	2	1	55	0	47
chr22	17593943	17599316	2	2	0	0	1	15
chr22	17594617	17598193	2	2	1	51	0	49
chr22	17598289	17600026	2	2	1	38	0	48
chr22	17600096	17601091	2	2	1	57	0	49
chr22	17601182	17612811	2	2	1	69	0	50
